TRAIN 0: PRED: yellow | SIT: ^ sm1(x1) gr1(x1) tr1(x1) le2(x1,x2) sm1(x2) bl1(x2) st1(x2) ! | FEEDBACK: the green triangle to the left of the blue star !
TRAIN 100: PRED: the medium star hexagon to the medium circle | SIT: ^ me1(x1) ye1(x1) el1(x1) ab2(x1,x2) bi1(x2) gr1(x2) st1(x2) ! | FEEDBACK: the medium yellow ellipse above the green star !
TRAIN 200: PRED: the small triangle below the right of the small | SIT: ^ sm1(x1) re1(x1) st1(x1) le2(x1,x2) bi1(x2) gr1(x2) st1(x2) ! | FEEDBACK: the small star to the left of the star !
TRAIN 300: PRED: the medium above the right of the small yellow | SIT: ^ bi1(x1) gr1(x1) he1(x1) le2(x1,x2) bi1(x2) pu1(x2) he1(x2) ! | FEEDBACK: the hexagon to the right of the big hexagon !
TRAIN 400: PRED: the big star to | SIT: ^ sm1(x1) bl1(x1) st1(x1) ab2(x1,x2) sm1(x2) bl1(x2) ci1(x2) ! | FEEDBACK: the small star !
TRAIN 500: PRED: the big to the right of the big | SIT: ^ me1(x1) bl1(x1) tr1(x1) le2(x1,x2) me1(x2) gr1(x2) ci1(x2) ! | FEEDBACK: the circle to the right of the triangle !
VALIDATION 0: PRED: the big triangle to the right of the big triangle| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) sm1(x2) bl1(x2) he1(x2) !
VALIDATION 100: PRED: the big triangle to the right of the big triangle| SIT: ^ sm1(x1) re1(x1) sq1(x1) le2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 200: PRED: the big triangle to the right of the big triangle| SIT: ^ sm1(x1) or1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 300: PRED: the big triangle to the right of the big triangle| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) sm1(x2) or1(x2) ci1(x2) !
VALIDATION 400: PRED: the big triangle to the right of the big triangle| SIT: ^ me1(x1) gr1(x1) st1(x1) ab2(x1,x2) me1(x2) pu1(x2) he1(x2) !
VALIDATION 500: PRED: the big triangle| SIT: ^ bi1(x1) gr1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 600: PRED: the big triangle| SIT: ^ bi1(x1) bl1(x1) el1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 700: PRED: the big triangle to the right of the big triangle| SIT: ^ sm1(x1) re1(x1) st1(x1) le2(x1,x2) me1(x2) or1(x2) he1(x2) !
VALIDATION 800: PRED: the big triangle to the right of the big triangle| SIT: ^ bi1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) bl1(x2) ci1(x2) !
VALIDATION 900: PRED: the big triangle to the right of the big triangle| SIT: ^ bi1(x1) pu1(x1) sq1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1000: PRED: the big triangle to the right of the big triangle| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1100: PRED: the big triangle to the right of the big triangle| SIT: ^ me1(x1) bl1(x1) sq1(x1) ab2(x1,x2) bi1(x2) ye1(x2) he1(x2) !
VALIDATION 1200: PRED: the big triangle to the right of the big triangle| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) ye1(x2) el1(x2) !
VALIDATION 1300: PRED: the big triangle to the right of the big triangle| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 1400: PRED: the big triangle to the right of the big triangle| SIT: ^ bi1(x1) or1(x1) st1(x1) le2(x1,x2) bi1(x2) gr1(x2) el1(x2) !
VALIDATION 1500: PRED: the big triangle to the right of the big triangle| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 1600: PRED: the big triangle to the right of the big triangle| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) me1(x2) re1(x2) el1(x2) !
VALIDATION 1700: PRED: the big triangle to the right of the big triangle| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) pu1(x2) st1(x2) !
